run_name,control_name,seed,generated_synthetic_examples,final_training_size,best_validation_macro_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,selected_class_ids,mean_semantic_similarity,passed_similarity_filter_count,sources_with_insufficient_passing_candidates
phase4_control_bt_diverse_x2_seed0_20260701_182204,bt_diverse_x2,0,6266,42568,0.6130845559037733,0.6916648339564548,0.6130845559037733,0.6940871114107896,0.6821350762527233,0.6196355702943303,0.6829260228398775,"[1, 2, 4]",,,
phase4_control_bt_diverse_x2_seed1_20260701_184721,bt_diverse_x2,1,6266,42568,0.5980178376218055,0.6830877501649439,0.5980178376218055,0.6829180185967589,0.6856209150326797,0.6107287342639538,0.6842958046078529,"[1, 2, 4]",,,
phase4_control_bt_diverse_x2_seed42_20260701_175636,bt_diverse_x2,42,6266,42568,0.612767420279688,0.6923246096327249,0.612767420279688,0.693594355647491,0.6864923747276689,0.6216461016878565,0.6868865615593337,"[1, 2, 4]",,,
phase4_control_bt_similarity_filtered_x3_seed0_20260701_194129,bt_similarity_filtered_x3,0,9399,45701,0.6062826708060746,0.6822080492632505,0.6062826708060746,0.6851923299839444,0.6736383442265795,0.6116338952693344,0.6762018131100191,"[1, 2, 4]",0.8745636119463556,8106.0,520.0
phase4_control_bt_similarity_filtered_x3_seed1_20260701_201005,bt_similarity_filtered_x3,1,9399,45701,0.595195001408575,0.674510666373433,0.595195001408575,0.6795471296846652,0.6671023965141613,0.6112377571849111,0.671650278105656,"[1, 2, 4]",0.8746530291250708,8114.0,520.0
phase4_control_bt_similarity_filtered_x3_seed42_20260701_191238,bt_similarity_filtered_x3,42,9399,45701,0.5872233781200661,0.6815482735869804,0.5872233781200661,0.679734490902348,0.6851851851851852,0.6092295933556275,0.6832387893561005,"[1, 2, 4]",0.8745367078229282,8125.0,520.0
phase4_control_bt_single_x1_seed0_20260701_171219,bt_single_x1,0,3133,39435,0.62337241501224,0.6978227402683088,0.62337241501224,0.6969601162932385,0.6904139433551199,0.626230661529364,0.6879592543645666,"[1, 2, 4]",,,
phase4_control_bt_single_x1_seed1_20260701_173424,bt_single_x1,1,3133,39435,0.628244166058883,0.6927644600835716,0.628244166058883,0.692784096790392,0.6843137254901961,0.6245525743631505,0.6833657610793916,"[1, 2, 4]",,,
phase4_control_bt_single_x1_seed42_20260701_164957,bt_single_x1,42,3133,39435,0.6246232401646026,0.6892456564767979,0.6246232401646026,0.6892361061797627,0.6910675381263617,0.6148992655091835,0.6899544527962955,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed0_20260701_150139,direct_duplication_x3,0,9399,45701,0.6124402681396132,0.6857268528700242,0.6124402681396132,0.6862898050498659,0.6760348583877995,0.6181824065679706,0.6751868372488508,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed0_20260701_160542,direct_duplication_x3,0,9399,45701,0.6124402681396132,0.6857268528700242,0.6124402681396132,0.6862898050498659,0.6760348583877995,0.6181824065679706,0.6751868372488508,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed1_20260701_151020,direct_duplication_x3,1,9399,45701,0.5997594104378342,0.6885858808005278,0.5997594104378342,0.6894690641186463,0.6843137254901961,0.6118802059044673,0.6835187288033139,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed1_20260701_161439,direct_duplication_x3,1,9399,45701,0.5997594104378342,0.6885858808005278,0.5997594104378342,0.6894690641186463,0.6843137254901961,0.6118802059044673,0.6835187288033139,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed42_20260701_145252,direct_duplication_x3,42,9399,45701,0.6095455919116967,0.6910050582801848,0.6095455919116967,0.6916945101464693,0.6849673202614379,0.6122135135605227,0.6845363220982328,"[1, 2, 4]",,,
phase4_control_direct_duplication_x3_seed42_20260701_155647,direct_duplication_x3,42,9399,45701,0.6095455919116967,0.6910050582801848,0.6095455919116967,0.6916945101464693,0.6849673202614379,0.6122135135605227,0.6845363220982328,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed0_20260701_152743,random_oversampling_x3,0,9399,45701,0.6183365673701837,0.6927644600835716,0.6183365673701837,0.6924400502179169,0.6814814814814815,0.6180278003615961,0.6796105958247896,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed0_20260701_163217,random_oversampling_x3,0,9399,45701,0.6183365673701837,0.6927644600835716,0.6183365673701837,0.6924400502179169,0.6814814814814815,0.6180278003615961,0.6796105958247896,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed1_20260701_153622,random_oversampling_x3,1,9399,45701,0.6174015473932738,0.6863866285462943,0.6174015473932738,0.690238129355832,0.6782135076252723,0.6168432457479224,0.6810503602000284,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed1_20260701_164101,random_oversampling_x3,1,9399,45701,0.6174015473932738,0.6863866285462943,0.6174015473932738,0.690238129355832,0.6782135076252723,0.6168432457479224,0.6810503602000284,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed42_20260701_151855,random_oversampling_x3,42,9399,45701,0.6194061809047561,0.6956234880140753,0.6194061809047561,0.6959852450844588,0.6856209150326797,0.6162397518480169,0.6850686278245295,"[1, 2, 4]",,,
phase4_control_random_oversampling_x3_seed42_20260701_162330,random_oversampling_x3,42,9399,45701,0.6194061809047561,0.6956234880140753,0.6194061809047561,0.6959852450844588,0.6856209150326797,0.6162397518480169,0.6850686278245295,"[1, 2, 4]",,,
